Drug 1,Drug 2,Interaction Description
Cyclobenzaprine,Escitalopram,The risk or severity of adverse effects can be increased when Cyclobenzaprine is combined with Escitalopram.
Gabapentin,Escitalopram,The risk or severity of adverse effects can be increased when Gabapentin is combined with Escitalopram.
Diazepam,Escitalopram,The risk or severity of adverse effects can be increased when Diazepam is combined with Escitalopram.
Loratadine,Escitalopram,The risk or severity of adverse effects can be increased when Loratadine is combined with Escitalopram.
Risperidone,Escitalopram,The metabolism of Escitalopram can be decreased when combined with Risperidone.
Clonazepam,Escitalopram,The risk or severity of adverse effects can be increased when Clonazepam is combined with Escitalopram.
Levetiracetam,Escitalopram,The risk or severity of adverse effects can be increased when Levetiracetam is combined with Escitalopram.
Bromocriptine,Alprazolam,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Alprazolam.
Pravastatin,Alprazolam,The serum concentration of Alprazolam can be increased when it is combined with Pravastatin.
Simvastatin,Alprazolam,The serum concentration of Alprazolam can be increased when it is combined with Simvastatin.
Rosuvastatin,Alprazolam,The serum concentration of Alprazolam can be increased when it is combined with Rosuvastatin.
Tramadol,Alprazolam,The risk or severity of adverse effects can be increased when Tramadol is combined with Alprazolam.
Morphine,Alprazolam,The risk or severity of adverse effects can be increased when Morphine is combined with Alprazolam.
Pregabalin,Alprazolam,The therapeutic efficacy of Alprazolam can be increased when used in combination with Pregabalin.
Mirtazapine,Alprazolam,Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Alprazolam.
Lorazepam,Alprazolam,The risk or severity of adverse effects can be increased when Lorazepam is combined with Alprazolam.
Carvedilol,Gabapentin,Carvedilol may increase the hypotensive activities of Gabapentin.
Fentanyl,Gabapentin,The risk or severity of adverse effects can be increased when Fentanyl is combined with Gabapentin.
Tramadol,Gabapentin,The risk or severity of adverse effects can be increased when Tramadol is combined with Gabapentin.
Morphine,Gabapentin,The risk or severity of adverse effects can be increased when Morphine is combined with Gabapentin.
Olanzapine,Gabapentin,The risk or severity of adverse effects can be increased when Olanzapine is combined with Gabapentin.
Pregabalin,Gabapentin,The therapeutic efficacy of Gabapentin can be decreased when used in combination with Pregabalin.
Mirtazapine,Gabapentin,Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Gabapentin.
Alprazolam,Gabapentin,The risk or severity of adverse effects can be increased when Alprazolam is combined with Gabapentin.
Lorazepam,Gabapentin,The risk or severity of adverse effects can be increased when Lorazepam is combined with Gabapentin.
Cyclobenzaprine,Gabapentin,The risk or severity of adverse effects can be increased when Cyclobenzaprine is combined with Gabapentin.
Diazepam,Gabapentin,The risk or severity of adverse effects can be increased when Diazepam is combined with Gabapentin.
Risperidone,Gabapentin,The risk or severity of adverse effects can be increased when Risperidone is combined with Gabapentin.
Metoprolol,Mirtazapine,The serum concentration of Mirtazapine can be increased when it is combined with Metoprolol.
Ciprofloxacin,Mirtazapine,Ciprofloxacin may increase the QTc-prolonging activities of Mirtazapine.
Levofloxacin,Mirtazapine,Levofloxacin may increase the QTc-prolonging activities of Mirtazapine.
Warfarin,Mirtazapine,Warfarin may increase the anticoagulant activities of Mirtazapine.
Bromocriptine,Mirtazapine,Bromocriptine may decrease the antihypertensive activities of Mirtazapine.
Fluoxetine,Mirtazapine,The risk or severity of adverse effects can be increased when Fluoxetine is combined with Mirtazapine.
Pravastatin,Mirtazapine,The serum concentration of Mirtazapine can be increased when it is combined with Pravastatin.
Simvastatin,Mirtazapine,The serum concentration of Mirtazapine can be increased when it is combined with Simvastatin.
Rosuvastatin,Mirtazapine,The serum concentration of Mirtazapine can be increased when it is combined with Rosuvastatin.
Amphetamine,Mirtazapine,The risk or severity of adverse effects can be increased when Amphetamine is combined with Mirtazapine.
Risperidone,Mirtazapine,Risperidone may decrease the antihypertensive activities of Mirtazapine.
Venlafaxine,Mirtazapine,The risk or severity of adverse effects can be increased when Venlafaxine is combined with Mirtazapine.
Paroxetine,Mirtazapine,The risk or severity of adverse effects can be increased when Paroxetine is combined with Mirtazapine.
Sertraline,Mirtazapine,The risk or severity of adverse effects can be increased when Sertraline is combined with Mirtazapine.
Methylphenidate,Mirtazapine,The risk or severity of adverse effects can be increased when Methylphenidate is combined with Mirtazapine.
Warfarin,Cyclobenzaprine,Warfarin may increase the anticoagulant activities of Cyclobenzaprine.
Bromocriptine,Cyclobenzaprine,Bromocriptine may decrease the antihypertensive activities of Cyclobenzaprine.
Fluoxetine,Cyclobenzaprine,The risk or severity of adverse effects can be increased when Fluoxetine is combined with Cyclobenzaprine.
Amphetamine,Cyclobenzaprine,Amphetamine may increase the serotonergic activities of Cyclobenzaprine.
Fentanyl,Cyclobenzaprine,The risk or severity of adverse effects can be increased when Fentanyl is combined with Cyclobenzaprine.
Morphine,Cyclobenzaprine,The risk or severity of adverse effects can be increased when Morphine is combined with Cyclobenzaprine.
Olanzapine,Cyclobenzaprine,The risk or severity of adverse effects can be increased when Olanzapine is combined with Cyclobenzaprine.
Pregabalin,Cyclobenzaprine,The therapeutic efficacy of Cyclobenzaprine can be increased when used in combination with Pregabalin.
Mirtazapine,Cyclobenzaprine,Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Cyclobenzaprine.
Trazodone,Cyclobenzaprine,The risk or severity of adverse effects can be increased when Trazodone is combined with Cyclobenzaprine.
Alprazolam,Cyclobenzaprine,The risk or severity of adverse effects can be increased when Alprazolam is combined with Cyclobenzaprine.
Lorazepam,Cyclobenzaprine,The risk or severity of adverse effects can be increased when Lorazepam is combined with Cyclobenzaprine.
Diazepam,Cyclobenzaprine,The risk or severity of adverse effects can be increased when Diazepam is combined with Cyclobenzaprine.
Risperidone,Cyclobenzaprine,Risperidone may decrease the antihypertensive activities of Cyclobenzaprine.
Venlafaxine,Cyclobenzaprine,The risk or severity of adverse effects can be increased when Venlafaxine is combined with Cyclobenzaprine.
Paroxetine,Cyclobenzaprine,The risk or severity of adverse effects can be increased when Paroxetine is combined with Cyclobenzaprine.
Sertraline,Cyclobenzaprine,The risk or severity of adverse effects can be increased when Sertraline is combined with Cyclobenzaprine.
Methylphenidate,Cyclobenzaprine,The risk or severity of adverse effects can be increased when Methylphenidate is combined with Cyclobenzaprine.
Bromocriptine,Diazepam,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Diazepam.
Pravastatin,Diazepam,The serum concentration of Diazepam can be increased when it is combined with Pravastatin.
Simvastatin,Diazepam,The serum concentration of Diazepam can be increased when it is combined with Simvastatin.
Rosuvastatin,Diazepam,The serum concentration of Diazepam can be increased when it is combined with Rosuvastatin.
Fentanyl,Diazepam,The risk or severity of adverse effects can be increased when Fentanyl is combined with Diazepam.
Tramadol,Diazepam,The risk or severity of adverse effects can be increased when Tramadol is combined with Diazepam.
Morphine,Diazepam,The risk or severity of adverse effects can be increased when Morphine is combined with Diazepam.
Pregabalin,Diazepam,The therapeutic efficacy of Diazepam can be decreased when used in combination with Pregabalin.
Mirtazapine,Diazepam,Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Diazepam.
Alprazolam,Diazepam,The risk or severity of adverse effects can be increased when Alprazolam is combined with Diazepam.
Lorazepam,Diazepam,The risk or severity of adverse effects can be increased when Lorazepam is combined with Diazepam.
Risperidone,Diazepam,The risk or severity of adverse effects can be increased when Risperidone is combined with Diazepam.
Carvedilol,Pregabalin,Carvedilol may increase the hypotensive activities of Pregabalin.
Rosiglitazone,Pregabalin,The risk or severity of heart failure can be increased when Pregabalin is combined with Rosiglitazone.
Pioglitazone,Pregabalin,The risk or severity of heart failure can be increased when Pregabalin is combined with Pioglitazone.
Metformin,Pregabalin,The risk or severity of heart failure can be increased when Pregabalin is combined with Metformin.
Lisinopril,Pregabalin,The risk or severity of adverse effects can be increased when Lisinopril is combined with Pregabalin.
Enalapril,Pregabalin,The risk or severity of adverse effects can be increased when Enalapril is combined with Pregabalin.
Mirtazapine,Pregabalin,Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Pregabalin.
Ciprofloxacin,Metronidazole,Ciprofloxacin may increase the QTc-prolonging activities of Metronidazole.
Levofloxacin,Metronidazole,Levofloxacin may increase the QTc-prolonging activities of Metronidazole.
Warfarin,Metronidazole,The serum concentration of Metronidazole can be increased when it is combined with Warfarin.
Bromocriptine,Metronidazole,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Metronidazole.
Citalopram,Metronidazole,Citalopram may increase the QTc-prolonging activities of Metronidazole.
Fluoxetine,Metronidazole,Fluoxetine may increase the QTc-prolonging activities of Metronidazole.
Quetiapine,Metronidazole,Quetiapine may increase the QTc-prolonging activities of Metronidazole.
Escitalopram,Metronidazole,Escitalopram may increase the QTc-prolonging activities of Metronidazole.
Pravastatin,Metronidazole,The serum concentration of Metronidazole can be increased when it is combined with Pravastatin.
Simvastatin,Metronidazole,The serum concentration of Metronidazole can be increased when it is combined with Simvastatin.
Rosuvastatin,Metronidazole,The serum concentration of Metronidazole can be increased when it is combined with Rosuvastatin.
Ondansetron,Metronidazole,Ondansetron may increase the QTc-prolonging activities of Metronidazole.
Metoprolol,Pravastatin,The serum concentration of Pravastatin can be increased when it is combined with Metoprolol.
Warfarin,Pravastatin,Warfarin may increase the anticoagulant activities of Pravastatin.
Rosuvastatin,Pravastatin,The serum concentration of Pravastatin can be increased when it is combined with Rosuvastatin.
Pregabalin,Pravastatin,The risk or severity of adverse effects can be increased when Pregabalin is combined with Pravastatin.
Lamotrigine,Pravastatin,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Pravastatin.
Gabapentin,Pravastatin,The risk or severity of adverse effects can be increased when Gabapentin is combined with Pravastatin.
Warfarin,Rosuvastatin,Warfarin may increase the anticoagulant activities of Rosuvastatin.
Pregabalin,Rosuvastatin,The risk or severity of adverse effects can be increased when Pregabalin is combined with Rosuvastatin.
Lamotrigine,Rosuvastatin,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Rosuvastatin.
Gabapentin,Rosuvastatin,The risk or severity of adverse effects can be increased when Gabapentin is combined with Rosuvastatin.
Metoprolol,Simvastatin,The serum concentration of Simvastatin can be increased when it is combined with Metoprolol.
Warfarin,Simvastatin,Warfarin may increase the anticoagulant activities of Simvastatin.
Pravastatin,Simvastatin,The serum concentration of Simvastatin can be increased when it is combined with Pravastatin.
Rosuvastatin,Simvastatin,The serum concentration of Simvastatin can be increased when it is combined with Rosuvastatin.
Pregabalin,Simvastatin,The risk or severity of adverse effects can be increased when Pregabalin is combined with Simvastatin.
Lamotrigine,Simvastatin,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Simvastatin.
Gabapentin,Simvastatin,The risk or severity of adverse effects can be increased when Gabapentin is combined with Simvastatin.
Ciprofloxacin,Levothyroxine,The serum concentration of Levothyroxine can be decreased when it is combined with Ciprofloxacin.
Warfarin,Levothyroxine,Warfarin may increase the anticoagulant activities of Levothyroxine.
Citalopram,Levothyroxine,The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Citalopram.
Fluoxetine,Levothyroxine,The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Fluoxetine.
Escitalopram,Levothyroxine,The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Escitalopram.
Duloxetine,Levothyroxine,The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Duloxetine.
Mirtazapine,Levothyroxine,Mirtazapine may increase the arrhythmogenic activities of Levothyroxine.
Cyclobenzaprine,Levothyroxine,Cyclobenzaprine may increase the arrhythmogenic activities of Levothyroxine.
Paroxetine,Levothyroxine,The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Paroxetine.
Sertraline,Levothyroxine,The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Sertraline.
Venlafaxine,Warfarin,The risk or severity of adverse effects can be increased when Venlafaxine is combined with Warfarin.
Citalopram,Bromocriptine,The risk or severity of adverse effects can be increased when Citalopram is combined with Bromocriptine.
Fluoxetine,Bromocriptine,The risk or severity of adverse effects can be increased when Fluoxetine is combined with Bromocriptine.
Quetiapine,Bromocriptine,The therapeutic efficacy of Bromocriptine can be decreased when used in combination with Quetiapine.
Escitalopram,Bromocriptine,The risk or severity of adverse effects can be increased when Escitalopram is combined with Bromocriptine.
Pravastatin,Bromocriptine,The serum concentration of Bromocriptine can be increased when it is combined with Pravastatin.
Simvastatin,Bromocriptine,The serum concentration of Bromocriptine can be increased when it is combined with Simvastatin.
Rosuvastatin,Bromocriptine,The serum concentration of Bromocriptine can be increased when it is combined with Rosuvastatin.
Fentanyl,Bromocriptine,The risk or severity of adverse effects can be increased when Fentanyl is combined with Bromocriptine.
Tramadol,Bromocriptine,The risk or severity of adverse effects can be increased when Tramadol is combined with Bromocriptine.
Aripiprazole,Bromocriptine,Aripiprazole may increase the hypotensive activities of Bromocriptine.
Olanzapine,Bromocriptine,The therapeutic efficacy of Bromocriptine can be decreased when used in combination with Olanzapine.
Trazodone,Bromocriptine,The risk or severity of adverse effects can be increased when Trazodone is combined with Bromocriptine.
Venlafaxine,Bromocriptine,The risk or severity of adverse effects can be increased when Venlafaxine is combined with Bromocriptine.
Paroxetine,Bromocriptine,The risk or severity of adverse effects can be increased when Paroxetine is combined with Bromocriptine.
Sertraline,Bromocriptine,The risk or severity of adverse effects can be increased when Sertraline is combined with Bromocriptine.
Methylphenidate,Bromocriptine,The risk or severity of adverse effects can be increased when Methylphenidate is combined with Bromocriptine.
Warfarin,Cephalexin,Warfarin may increase the anticoagulant activities of Cephalexin.
Metformin,Cephalexin,The serum concentration of Cephalexin can be increased when it is combined with Metformin.
Pregabalin,Lorazepam,The therapeutic efficacy of Lorazepam can be decreased when used in combination with Pregabalin.
Mirtazapine,Lorazepam,Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Lorazepam.
Methotrexate,Amoxicillin,The serum concentration of Amoxicillin can be increased when it is combined with Methotrexate.
Warfarin,Amoxicillin,Warfarin may increase the anticoagulant activities of Amoxicillin.
Atenolol,Naproxen,Atenolol may decrease the antihypertensive activities of Naproxen.
Metoprolol,Naproxen,Metoprolol may decrease the antihypertensive activities of Naproxen.
Methotrexate,Naproxen,The serum concentration of Naproxen can be increased when it is combined with Methotrexate.
Carvedilol,Naproxen,Carvedilol may decrease the antihypertensive activities of Naproxen.
Propranolol,Naproxen,Propranolol may decrease the antihypertensive activities of Naproxen.
Warfarin,Naproxen,Warfarin may increase the anticoagulant activities of Naproxen.
Lisinopril,Naproxen,The risk or severity of adverse effects can be increased when Lisinopril is combined with Naproxen.
Enalapril,Naproxen,The risk or severity of adverse effects can be increased when Enalapril is combined with Naproxen.
Metoprolol,Ranitidine,The serum concentration of Ranitidine can be increased when it is combined with Metoprolol.
Warfarin,Ranitidine,The serum concentration of Ranitidine can be increased when it is combined with Warfarin.
Bromocriptine,Ranitidine,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Ranitidine.
Lovastatin,Ranitidine,The serum concentration of Ranitidine can be increased when it is combined with Lovastatin.
Pravastatin,Ranitidine,The serum concentration of Ranitidine can be increased when it is combined with Pravastatin.
Simvastatin,Ranitidine,The serum concentration of Ranitidine can be increased when it is combined with Simvastatin.
Rosuvastatin,Ranitidine,The serum concentration of Ranitidine can be increased when it is combined with Rosuvastatin.
Amphetamine,Ranitidine,Amphetamine may decrease the sedative activities of Ranitidine.
Cefuroxime,Ranitidine,Cefuroxime can cause a decrease in the absorption of Ranitidine resulting in a reduced serum concentration and potentially a decrease in efficacy.
Metoprolol,Amphetamine,The serum concentration of Amphetamine can be increased when it is combined with Metoprolol.
Rosiglitazone,Amphetamine,Rosiglitazone may increase the hypoglycemic activities of Amphetamine.
Pioglitazone,Amphetamine,Pioglitazone may increase the hypoglycemic activities of Amphetamine.
Metformin,Amphetamine,Metformin may increase the hypoglycemic activities of Amphetamine.
Bromocriptine,Amphetamine,Bromocriptine may increase the hypoglycemic activities of Amphetamine.
Escitalopram,Amphetamine,The risk or severity of adverse effects can be increased when Escitalopram is combined with Amphetamine.
Fentanyl,Amphetamine,Fentanyl may increase the analgesic activities of Amphetamine.
Tramadol,Amphetamine,Tramadol may increase the neuroexcitatory activities of Amphetamine.
Esomeprazole,Amphetamine,Esomeprazole can cause an increase in the absorption of Amphetamine resulting in an increased serum concentration and potentially a worsening of adverse effects.
Omeprazole,Amphetamine,Omeprazole can cause an increase in the absorption of Amphetamine resulting in an increased serum concentration and potentially a worsening of adverse effects.
Trazodone,Amphetamine,Trazodone may increase the serotonergic activities of Amphetamine.
Methylphenidate,Amphetamine,Methylphenidate may increase the hypertensive activities of Amphetamine.
Furosemide,Allopurinol,The risk or severity of adverse effects can be increased when Furosemide is combined with Allopurinol.
Warfarin,Allopurinol,Warfarin may increase the anticoagulant activities of Allopurinol.
Amoxicillin,Allopurinol,The risk of a hypersensitivity reaction to Allopurinol is increased when it is combined with Amoxicillin.
Bromocriptine,Ezetimibe,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Ezetimibe.
Lovastatin,Ezetimibe,The serum concentration of Ezetimibe can be increased when it is combined with Lovastatin.
Pravastatin,Ezetimibe,The serum concentration of Ezetimibe can be increased when it is combined with Pravastatin.
Simvastatin,Ezetimibe,The serum concentration of Ezetimibe can be increased when it is combined with Simvastatin.
Rosuvastatin,Ezetimibe,The serum concentration of Ezetimibe can be increased when it is combined with Rosuvastatin.
Furosemide,Metformin,The therapeutic efficacy of Metformin can be decreased when used in combination with Furosemide.
Prednisone,Metformin,The therapeutic efficacy of Metformin can be decreased when used in combination with Prednisone.
Chlorthalidone,Metformin,The therapeutic efficacy of Metformin can be decreased when used in combination with Chlorthalidone.
Hydrochlorothiazide,Metformin,The therapeutic efficacy of Metformin can be decreased when used in combination with Hydrochlorothiazide.
Quetiapine,Metformin,The therapeutic efficacy of Metformin can be decreased when used in combination with Quetiapine.
Aripiprazole,Metformin,The therapeutic efficacy of Metformin can be decreased when used in combination with Aripiprazole.
Olanzapine,Metformin,The therapeutic efficacy of Metformin can be decreased when used in combination with Olanzapine.
Risperidone,Metformin,The therapeutic efficacy of Metformin can be decreased when used in combination with Risperidone.
Prednisone,Memantine,The risk or severity of adverse effects can be increased when Prednisone is combined with Memantine.
Fluticasone Propionate,Memantine,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Memantine.
Warfarin,Cefuroxime,Warfarin may increase the anticoagulant activities of Cefuroxime.
Warfarin,Ceftriaxone,Warfarin may increase the anticoagulant activities of Ceftriaxone.
